angry0,angry1,box0,box1,disgust0,disgust1,fear0,fear1,happy0,happy1,neutral0,neutral1,sad0,sad1,surprise0,surprise1
0.1,,"[1974, 861, 182, 235]",,0.0,,0.03,,0.08,,0.64,,0.15,,0.0,
0.13,,"[1973, 861, 184, 235]",,0.0,,0.03,,0.06,,0.57,,0.2,,0.01,
0.12,,"[1973, 862, 183, 233]",,0.0,,0.02,,0.05,,0.6,,0.21,,0.0,
0.11,,"[1975, 862, 181, 232]",,0.0,,0.03,,0.03,,0.62,,0.21,,0.01,
0.12,,"[1973, 861, 186, 235]",,0.0,,0.04,,0.04,,0.63,,0.16,,0.01,
0.11,,"[1973, 860, 186, 235]",,0.0,,0.04,,0.03,,0.63,,0.18,,0.0,
0.11,,"[1973, 860, 186, 235]",,0.0,,0.03,,0.02,,0.65,,0.18,,0.0,
0.12,,"[1974, 862, 183, 233]",,0.0,,0.02,,0.04,,0.61,,0.2,,0.01,
0.13,,"[1975, 862, 182, 234]",,0.0,,0.03,,0.03,,0.59,,0.21,,0.01,
0.13,,"[1975, 862, 182, 234]",,0.0,,0.03,,0.03,,0.6,,0.2,,0.01,
0.15,,"[1975, 862, 184, 234]",,0.0,,0.04,,0.02,,0.56,,0.23,,0.01,
0.11,,"[1975, 862, 183, 233]",,0.0,,0.02,,0.02,,0.73,,0.13,,0.0,
0.17,,"[1976, 862, 182, 233]",,0.0,,0.03,,0.01,,0.59,,0.19,,0.0,
0.22,,"[1975, 863, 184, 234]",,0.0,,0.04,,0.01,,0.53,,0.19,,0.01,
0.14,,"[1975, 863, 184, 234]",,0.0,,0.03,,0.01,,0.63,,0.18,,0.0,
0.14,,"[1975, 862, 184, 234]",,0.0,,0.03,,0.01,,0.65,,0.17,,0.0,
0.15,,"[1975, 862, 183, 233]",,0.0,,0.02,,0.01,,0.66,,0.15,,0.0,
0.21,,"[1975, 861, 184, 235]",,0.0,,0.03,,0.01,,0.53,,0.21,,0.0,
0.17,,"[1973, 866, 187, 232]",,0.0,,0.03,,0.09,,0.54,,0.15,,0.01,
0.29,,"[1976, 861, 184, 238]",,0.0,,0.1,,0.03,,0.25,,0.29,,0.04,
0.31,,"[1975, 858, 185, 240]",,0.0,,0.09,,0.01,,0.29,,0.25,,0.04,
0.34,,"[1976, 860, 184, 238]",,0.0,,0.09,,0.02,,0.36,,0.19,,0.01,
0.42,,"[1966, 853, 193, 246]",,0.0,,0.11,,0.02,,0.24,,0.2,,0.01,
0.25,,"[1971, 851, 181, 239]",,0.0,,0.13,,0.01,,0.4,,0.18,,0.03,
0.3,,"[1972, 858, 177, 234]",,0.0,,0.07,,0.02,,0.47,,0.12,,0.02,
0.22,,"[1969, 855, 191, 248]",,0.0,,0.17,,0.01,,0.33,,0.25,,0.02,
0.18,,"[1972, 857, 176, 233]",,0.0,,0.2,,0.02,,0.46,,0.12,,0.02,
0.13,,"[1973, 854, 179, 238]",,0.0,,0.07,,0.04,,0.61,,0.14,,0.01,
0.2,,"[1976, 857, 179, 243]",,0.0,,0.14,,0.02,,0.45,,0.16,,0.03,
0.18,,"[1969, 853, 192, 254]",,0.01,,0.22,,0.01,,0.11,,0.38,,0.09,
0.21,,"[1970, 851, 193, 255]",,0.01,,0.25,,0.02,,0.11,,0.32,,0.08,
0.26,,"[1976, 857, 178, 245]",,0.0,,0.19,,0.03,,0.24,,0.19,,0.09,
0.22,,"[1976, 858, 180, 242]",,0.0,,0.21,,0.03,,0.29,,0.19,,0.05,
0.44,,"[1970, 856, 188, 247]",,0.0,,0.25,,0.01,,0.06,,0.2,,0.04,
0.46,,"[1975, 857, 181, 239]",,0.0,,0.22,,0.02,,0.13,,0.15,,0.02,
0.25,,"[1977, 862, 185, 234]",,0.0,,0.14,,0.05,,0.36,,0.17,,0.04,
0.28,,"[1972, 858, 189, 243]",,0.0,,0.16,,0.01,,0.37,,0.16,,0.02,
0.35,,"[1972, 856, 191, 245]",,0.0,,0.15,,0.01,,0.24,,0.23,,0.01,
0.3,,"[1972, 854, 192, 250]",,0.0,,0.09,,0.0,,0.33,,0.26,,0.01,
0.26,,"[1974, 855, 192, 250]",,0.0,,0.11,,0.0,,0.3,,0.32,,0.01,
0.26,,"[1974, 855, 192, 250]",,0.0,,0.11,,0.0,,0.3,,0.31,,0.01,
0.35,,"[1973, 853, 193, 250]",,0.0,,0.27,,0.0,,0.06,,0.25,,0.06,
0.47,,"[1974, 851, 194, 251]",,0.01,,0.19,,0.0,,0.04,,0.25,,0.04,
